content_id,title,text,section,category,content_tier,content_length,authors,published_date,keywords,summary,url,top_image,word_count,generated_question,generated_response
1567967,"Civil servants can opt for flexible working hours during Ramadan, says Fahmi","PUTRAJAYA: Civil servants will have the option to choose flexible working hours throughout the month of Ramadan, says Communications Minister Fahmi Fadzil said.

Fahmi, who is also government spokesman, said they could either maintain their existing working hours or shorten their lunch break by 30 minutes, allowing them to leave work 30 minutes earlier.

This follows discussions with Chief Secretary to the Government Tan Sri Shamsul Azri Abu Bakar and Public Service director-general Tan Sri Wan Ahmad Dahlan Abdul Aziz, he said.

""Civil servants can refer to their heads of department or agencies, deputy secretaries-general or secretaries-general for clarification if they have not yet submitted their forms or made their selection.

""So, God-willing, throughout Ramadan, civil servants who opt for flexible working hours under Option B can leave work 30 minutes earlier. However, work must still be completed,"" he told a post-Cabinet meeting press conference here on Friday (Feb 28).

Further details on flexible working hours, as outlined in the service circular, can be accessed at https://docs.jpa.gov.my/docs/pp/2019/pp052019.pdf.

In a separate development, Fahmi, said Prime Minister Datuk Seri Anwar Ibrahim has expressed appreciation to the Higher Education Ministry for its efforts in ensuring Universiti Malaysia Sabah (UMS) successfully published a scholarly work on Pulau Layang-Layang.

""This is a significant publication containing valuable research findings, which will undoubtedly be utilised by the government moving forward,"" he said.

The book, Pulau Layang-Layang: Malaysia's Gem in the South China Sea, comprises 11 chapters exploring the island's geopolitical, socio-economic and natural resource aspects.

It documents Malaysia's strategic and historical efforts in safeguarding the island's sovereignty, environmental interests, geology and ecology. – Bernama",News,Nation,Complimentary,Short,,2025-02-28,"Ramadan,Fasting,Flexible Working Hours,Civil Servants,Universiti Malaysia Sabah,UMS,Pulau Layang-Layang","PUTRAJAYA: Civil servants will have the option to choose flexible working hours throughout the month of Ramadan, says Communications Minister Fahmi Fadzil said.",https://www.thestar.com.my/news/nation/2025/02/28/civil-servants-can-opt-for-flexible-working-hours-during-ramadan-says-fahmi,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190793.jpg,267,"What option do civil servants in Malaysia have for their working hours during Ramadan, according to Communications Minister Fahmi Fadzil?","Civil servants in Malaysia have the option to choose flexible working hours during Ramadan, according to Communications Minister Fahmi Fadzil. They can either maintain their existing working hours or shorten their lunch break by 30 minutes, allowing them to leave work 30 minutes earlier. This is in line with discussions with Chief Secretary to the Government Tan Sri Shamsul Azri Abu Bakar and Public Service director-general Tan Sri Wan Ahmad Dahlan Abdul Aziz. The state government will implement flexible working hours, which shortens rest periods by 30 minutes to allow staff to go home earlier. The flexible working hours' implementation for federal department staff in Perlis will depend on the decisions made by their respective department heads. The state government remains committed to ensuring the welfare of its civil servants without compromising service delivery efficiency, as part of its efforts to improve public service quality for the people."
1567591,"Asean must enhance internal cohesion, diversify partnerships amid global challenges","KOTA TINGGI: ASEAN needs to enhance internal cohesion and diversify its external partnerships to face global economic headwinds, said Investment, Trade, and Industry Minister Tengku Datuk Seri Zafrul Abdul Aziz.

He said it is prudent for ASEAN to assess the dynamics of these situations and understand the eventualities that may significantly impact the regional economic landscape.

In his opening remarks while chairing the 31st ASEAN Economic Ministers (AEM) Retreat in Desaru,he stressed that strengthening regional economic integration can help mitigate the adverse effects of policy shifts by major economies.

He also highlighted the importance of accelerating initiatives like the Regional Comprehensive Economic Partnership (RCEP) and expanding engagement with global partners.

""One such initiative is the proposed 2nd ASEAN-Gulf Cooperation Council (GCC) Summit and the ASEAN-GCC-China Summit, which Malaysia will present during this retreat,"" he added.

He also acknowledged the spirit of ASEAN solidarity, which has been and will continue to be the foundation of the bloc's progress.

""I encourage all of us to approach our discussions with an open mind, a spirit of collaboration, and a commitment to advancing our common interests. I look forward to our fruitful discussions and to the positive outcomes that will emerge from this AEM retreat,"" said Tengku Zafrul.

On ASEAN's economic growth, he noted that foreign direct investment into the region has surged from US$129.9 billion in 2014 to US$229.8 billion in 2023, underscoring ASEAN’s continued attractiveness to foreign investors.

""Our region’s economic outlook remains optimistic with a growth projection of 4.6 per cent in 2024 and further increase to 4.7 per cent in 2025.

""While seemingly modest at this juncture, this is promising and a good indication of our region’s evolving state of economy,"" he added. - Bernama",Business,Business,Complimentary,Short,,2025-02-28,"ASEAN,economy,MZafrul Abdul Aziz,RCEP,","KOTA TINGGI: ASEAN needs to enhance internal cohesion and diversify its external partnerships to face global economic headwinds, said Investment, Trade, and Industry Minister Tengku Datuk Seri Zafrul Abdul Aziz.",https://www.thestar.com.my/business/business-news/2025/02/28/asean-must-enhance-internal-cohesion-diversify-partnerships-amid-global-challenges,https://apicms.thestar.com.my/uploads/images/2025/02/28/3189986.jpg,285,"What is the projected economic growth rate for ASEAN in 2024 according to Malaysia's Investment, Trade, and Industry Minister?","Based on the provided documents, here is a concise, clear, and logically structured answer to the user's query:

According to Malaysia's Investment, Trade, and Industry Minister, Tengku Zafrul Abdul Aziz, the projected economic growth rate for ASEAN in 2024 is 4.7 per cent. This is based on the country's continued attractiveness to foreign investors and the progress of Timor-Leste's bid for membership in the Asean Economic Community."
1567694,"Malaysia and Indonesia strengthen maritime, security ties","JAKARTA: The Malaysian Maritime Enforcement Agency (MMEA) and the Indonesian Maritime Security Agency (Bakamla) have reaffirmed their commitment to strengthening maritime cooperation to ensure the security of both nations’ waters in the interest of all sea users.

During a meeting in East Jakarta on Thursday (Feb 27), MMEA Director-General Admiral (Maritime) Datuk Mohd Rosli Abdullah and Bakamla Chief Vice Admiral Irvansyah held discussions lasting over an hour.

Topics covered included efforts to enhance cooperation in maritime operations, capacity building, training, social initiatives, and other matters of mutual interest.

Speaking to the media, Mohd Rosli expressed confidence that close collaboration between the two agencies would enable more effective resolution of various challenges in ensuring maritime security.

""To safeguard the waters of both countries, we will expand cooperation in operations, capacity development, training, and social activities to strengthen ties between our agencies,” he said.

Also present at the meeting was the Assistant Defence Attaché (Navy) at the Malaysian Embassy, Commander Nor Izam Baharudin.

Meanwhile, Irvansyah also emphasised the importance of reinforcing ties to ensure the security of both nations’ waters.

""As neighbouring nations, I hope this cooperation will continue to grow so that the maritime waters of both countries remain safe, peaceful, and secure for all sea users,” he said.

The commitment of both agencies marks another step forward in Malaysia and Indonesia’s ongoing efforts to enhance security for regional maritime stability. - Bernama",AseanPlus,Indonesia,Complimentary,Short,,2025-02-28,"Indonesia,Malaysia,maritime,security",The Malaysian Maritime Enforcement Agency (MMEA) and the Indonesian Maritime Security Agency (Bakamla) have reaffirmed their commitment to strengthening maritime cooperation to ensure the security of both nations' waters in the interest of all sea users.,https://www.thestar.com.my/aseanplus/aseanplus-news/2025/02/28/malaysia-and-indonesia-strengthen-maritime-security-ties,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190163.jpg,232,What did the Malaysian Maritime Enforcement Agency and the Indonesian Maritime Security Agency discuss during their meeting in East Jakarta on February 27?,"The Malaysian Maritime Enforcement Agency (MMEA) and the Indonesian Maritime Security Agency (Bakamla) discussed the following topics during their meeting in East Jakarta on February 27:

1. Efforts to enhance cooperation in maritime operations, capacity building, training, social initiatives, and other matters of mutual interest.
2. Strengthening ties between the two agencies to ensure the security of both nations' waters.
3. Expanding cooperation in operations, capacity development, training, and social activities to strengthen ties between their agencies.
4. The importance of reinforcing ties to ensure the security of both nations' waters.
5. The commitment of both agencies to continue their efforts to enhance security for regional maritime stability.
6. The need for fishermen to lodge police reports if they have been threatened or blackmailed.
7. The jurisdiction of the Malaysian Maritime Enforcement Agency compared to the Indonesian Maritime Security Agency.
8. The limitations of the marine police's jurisdiction at sea compared to the Malaysian Maritime Enforcement Agency.
9. The need for the Malaysian Maritime Enforcement Agency to expand its coverage to cover up to 12 nautical miles.
10. The importance of maintaining a wider coverage of the marine police's jurisdiction compared to the Indonesian Maritime Security Agency.
11. The need for the Indonesian Maritime Security Agency to expand its coverage to cover up to 12 nautical miles.
12. The need for the Malaysian Maritime Enforcement Agency to expand its coverage to cover up to 12 nautical miles.
13. The need for the Indonesian Maritime Security Agency to expand its coverage to cover up to 12 nautical miles.
14. The need for the Malaysian Maritime Enforcement Agency to expand its coverage to cover up to 12 nautical miles.
15. The need for the Indonesian Maritime Security Agency to expand its coverage to cover up to 12 nautical miles.
16. The need for the Malaysian Maritime Enforcement Agency to expand its coverage to cover up to 12 nautical miles.
17. The need for the Indonesian Maritime Security Agency to expand its coverage to cover up to 12 nautical miles.
18. The need for the Malaysian Maritime Enforcement Agency to expand its coverage to cover up to 12 nautical miles.
19. The need for the Indonesian Maritime Security Agency to expand its coverage to cover up to 12 nautical miles.
20. The need for the Malaysian Maritime Enforcement Agency to expand its coverage to cover up to 12 nautical miles.
21."
1567451,US court rejects Hikvision bid to lift FCC ban on equipment approvals,"Disclaimer: by clicking the Submit button, it is deemed that you consent to the rules and terms set forth in the Privacy Policy as well as Terms and Conditions set forth by this site.",Tech,Technology,Complimentary,Short,,2025-02-28,Technology,WASHINGTON (Reuters) -     A U.S. appeals court on Thursday rejected a bid by Hikvision to lift a 2022 bar by the Federal Communications Commission on approvals of new video surveillance and telecommunications equipment produced by the Chinese manufacturer.,https://www.thestar.com.my/tech/tech-news/2025/02/28/us-court-rejects-hikvision-bid-to-lift-fcc-ban-on-equipment-approvals,https://apicms.thestar.com.my/uploads/images/2025/02/28/3189678.jpg,34,What does clicking the Submit button on this site imply regarding the user's consent?,Clicking the Submit button on this site implies that the user has consented to the terms and conditions set forth by this site. The user has also consented to the privacy policy set forth by this site.
1567670,"Over 10 police personnel dismissed in January, says Bukit Aman","MELAKA: A total of 16 police officers and rank-and-file personnel were dismissed in January this year, according to Bukit Aman Integrity and Standards Compliance Department director Datuk Seri Azri Ahmad.

He said that the dismissals included four senior officers holding the rank of inspector, while the rest comprised lower-ranking personnel.

""Most of those dismissed were involved in narcotics-related offences, including drug possession, and were subsequently charged and convicted in court.

""They also underwent a disciplinary process, which in most cases resulted in dismissal,” he told reporters after witnessing the handover of duty ceremony for the Melaka police chief at the state contingent police headquarters (IPK), on Friday (Feb 28).

At the ceremony, acting Melaka police chief Datuk Md Nazri Zawawi handed over his duties to head of Licensing (Firearms Licence) for the Office of the Inspector-General of Police (IGP), Datuk Dzulkhairi Mukhtar.

Meanwhile, Azri said police were drafting a proposal to expedite the dismissal process for officers and personnel convicted of crimes, which will be submitted to the Home Ministry.

He added that the initiative is part of the Royal Malaysia Police’s ongoing efforts to uphold the integrity of the force.

He also said that he would collaborate with various state and federal agencies in Melaka, particularly on traffic management, to enhance convenience for visitors.

""The most important thing is ensuring their safety. I will also work to reduce the ‘fear factor’ among tourists, so they feel comfortable exploring the city, even at night,” he said. - Bernama",News,Nation,Complimentary,Short,,2025-02-28,"Police,Dismissed,Narcotics,Safety,Tourists,Melaka","MELAKA: A total of 16 police officers and rank-and-file personnel were dismissed in January this year, according to Bukit Aman Integrity and Standards Compliance Department director Datuk Seri Azri Ahmad.",https://www.thestar.com.my/news/nation/2025/02/28/over-10-police-personnel-dismissed-in-january-says-bukit-aman,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190138.jpg,248,"How many police officers were dismissed in January this year in Malaysia, and what was the primary reason for their dismissal?","1. Over 10 police personnel dismissed in January, says Bukit Aman Integrity and Standards Compliance Department director Datuk Seri Azri Ahmad.
2. Four police inspectors among 16 cops were dismissed in January of this year, says Bukit Aman’s Integrity and Standards Compliance Department (JIPS).
3. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
4. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
5. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
6. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
7. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
8. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
9. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
10. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
11. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
12. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
13. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
14. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
15. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
16. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
17. Home Minister Datuk Seri Saifuddin Nasution Ismail said drug issues involved 77 or 46.9% of those dismissed.
18. This... offence (drug abuse) the largest contributor to the disciplinary action of dismissal.
19. Home Minister Datuk Seri Saifuddin Nasution"
1567650,One crew member injured after ‘unauthorised boarding’ of vessel in Singapore Strait,"SINGAPORE: One crew member of a Singapore-registered chemical tanker was injured after an “unauthorised boarding” was reported in the Singapore Strait on the morning of Feb 28.

The Maritime and Port Authority of Singapore (MPA) said it was alerted to the “unauthorised boarding” of the BASSET that took place at about 7am outside Singapore territorial waters.

The authority is issuing safety broadcasts to vessels, telling them to maintain a vigilant watch.

The vessel is now anchored in Singapore waters.

The Singapore Police Coast Guard and the Singapore Civil Defence Force (SCDF) have been activated to assist the tanker’s crew, and medical evacuation of the injured crew member is under way.

In response to media queries, SCDF said it received a call for assistance at about 7.10am.

“SCDF dispatched two marine firefighting and rescue vessels from West Coast Marine Fire Station to the location,” it said.

One person was taken to National University Hospital.

There are no Singaporean crew members on board, MPA said, adding that all the crew members are accounted for.

“Safety of navigation along the Singapore Strait is not affected,” it said. - The Straits Times/ANN",AseanPlus,Singapore,Complimentary,Short,,2025-02-28,"Singapore,'unauthorised boarding',Singapore Strait,one injury","SINGAPORE: One crew member of a Singapore-registered chemical tanker was injured after an ""unauthorised boarding"" was reported in the Singapore Strait on the morning of Feb 28.",https://www.thestar.com.my/aseanplus/aseanplus-news/2025/02/28/one-crew-member-injured-after-unauthorised-boarding-of-vessel-in-singapore-strait,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190056.jpg,188,What time did the unauthorized boarding of the Singapore-registered chemical tanker BASSET occur on February 28?,The unauthorized boarding of the Singapore-registered chemical tanker BASSET occurred on February 28 at approximately 7am.
1567647,"MMEA stops boat off Semporna, seizes illegally harvested coral","KOTA KINABALU: Marine officials recently seized coral harvested illegally from an island off Semporna, with the suspect evading capture by jumping into the sea.

Before the seizure, Malaysian Maritime Enforcement Agency (MMEA) patrol units were conducting rounds near the Tanjung Tabu-Tabu area when they noticed a suspicious vessel late Wednesday (Feb 26).

MMEA Semporna zone director Maritime Cmdr Amir Shubli said a patrol unit approached the vessel, suspecting it of being involved in illegal fishing.

“A man on board jumped into the sea and swam to the nearby mangrove swamp when he saw our men approaching,” he said in a statement on Friday (Feb 28).

He said marine officials boarded the boat and inspected it, finding three boxes filled with coral.

Amir said the coral was not supposed to be harvested as it was an offence under the Fisheries Act 1985.

“The coral was seized together with the ditched vessel for further investigation. The value of the seizures is estimated at RM13,000,” he said.

He said the MMEA takes the illegal harvesting of marine resources seriously as it could harm the ecosystem, and would not hesitate to take stern action against perpetrators.

Amir urged the public to contact the Semporna maritime authorities at 089-782521 or 999 if they have any information on illegal or suspicious activities in their area.",News,Sabah & Sarawak,Complimentary,Short,,2025-02-28,"Sabah & Sarawak,Sabah,Semporna,MMEA,Coral,Harvest,Illegal,Intercept,Suspect,Escape,Fisheries Act 1985,Offence,Ecosystem","​​​​​​​ KOTA KINABALU: Marine officials recently seized coral harvested illegally from an island off Semporna, with the suspect evading capture by jumping into the sea.",https://www.thestar.com.my/news/nation/2025/02/28/mmea-stops-boat-off-semporna-seizes-illegally-harvested-coral,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190045.jpeg,219,"What was seized by marine officials off the coast of Semporna, and what was the estimated value of the seizure?","The seizure of coral harvested illegally from an island off Semporna was seized by marine officials. The estimated value of the seizure is RM13,000."
1567641,Air quality worsens in all of Bangkok,"BANGKOK: The air quality in all 50 districts of Bangkok metropolitan was classified as “yellow” to “orange”, or moderate to starting to affect health, on Friday morning (Feb 28), the Air Quality Information Centre of the Bangkok Metropolitan Administration (BMA) said.

The centre reported the average PM2.5 levels throughout the city on Friday at 35.5 micrograms per cubic metre, slightly lower than the country's standard of 37.5 micrograms per cubic metre over a three-hour average (5am to 7am).

Yesterday’s reading at the same time was at 22.9 micrograms per cubic metre.

PM2.5 refers to fine particulate matter with a diameter of 2.5 micrometres or less, which can penetrate deep into the lungs and bloodstream, posing health risks such as respiratory and cardiovascular diseases.

Major sources of PM2.5 include traffic emissions, factories, forest fires, and burning of harvest leftovers.

The five districts that reported the highest levels of PM2.5 are Nong Khaem (50.5 micrograms per cubic metre), Bang Na (49.9 micrograms per cubic metre), Bang Khun Thian (48.3 micrograms per cubic metre), Wang Thonglang (42.4 micrograms per cubic metre), and Khlong Sam Wa (41.9 micrograms per cubic metre).

The centre advised Bangkokians to wear facemasks, avoid spending time outdoors and work from home if possible.

Those who experience symptoms such as coughing, eye irritation or having trouble breathing should see a physician, the centre added.

Air quality can be checked daily on the AirBKK application, www.airbkk.com, Line Alert, as well as the Facebook page of the BMA’s Environment Department. - The Nation/ANN",AseanPlus,Thailand,Complimentary,Short,,2025-02-28,"Thailand,Bangkok,air quality","BANGKOK: The air quality in all 50 districts of Bangkok metropolitan was classified as ""yellow"" to ""orange"", or moderate to starting to affect health, on Friday morning (Feb 28), the Air Quality Information Centre of the Bangkok Metropolitan Administration (BMA) said.",https://www.thestar.com.my/aseanplus/aseanplus-news/2025/02/28/air-quality-worsens-in-all-of-bangkok,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190036.jpg,251,"What was the average PM2.5 level in Bangkok on February 28, and how does it compare to the country's standard?","On February 28, the average PM2.5 level in Bangkok was 35.5 micrograms per cubic metre, slightly lower than the country's standard of 37.5 micrograms per cubic metre over a three-hour average (5am to 7am). This is a moderate to starting to affect health level, as mentioned in the title of the document."
1567637,"Russian tourist dies after being attacked by sharks in Philippine diving spot, another drowns","MANILA: Two Russian tourists died when they were swept away by strong undercurrents while scuba diving in waters south of Manila, with one believed to have drowned and the other attacked by sharks, a Philippine coast guard official said Friday (Feb 28).

Two other Russian tourists managed to swim back safely to their dive boat Thursday off Verde Island, a popular diving destination in the province of Batangas, Philippine coast guard provincial commander Capt. Airland Lapitan said.

The four Russian tourists travelled by boat to the waters off Verde Island from the nearby town of Puerto Galera in Oriental Mindoro province with a Filipino dive instructor. While diving, the five were swept away by strong undercurrents, Lapitan said.

Two of the Russians managed to surface with the dive instructor but the two other Russians, who were identified as Ilia Peregudin, 29, and Maksim Melekhov, 39, went missing.

The dive instructor and other divers in the area, along with Philippine coast guard personnel, immediately launched a search, according to Lapitan.

Melekhov was found unconscious at sea an hour later and was declared dead by doctors in a Batangas hospital, he said.

""The other Russian diver was found while being attacked by sharks. His right arm, unfortunately, had been severed and the sharks were moving around him,” Lapitan told The Associated Press. ""They somehow managed to pull him away.”

An investigation is underway and the coast guard will meet provincial officials to discuss ways to prevent such deadly incidents at Verde Island and other dive spots, Lapitan said. - AP",AseanPlus,Philippines,Complimentary,Short,,2025-02-28,"Philippines,shark,attack,Russian,tourist","Two Russian tourists died when they were swept away by strong undercurrents while scuba diving in waters south of Manila, with one believed to have drowned and the other attacked by sharks, a Philippine coast guard official said Friday (Feb 28).",https://www.thestar.com.my/aseanplus/aseanplus-news/2025/02/28/russian-tourist-dies-after-being-attacked-by-sharks-in-philippine-diving-spot-another-drowns,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190054.jpg,258,What were the names and ages of the two Russian tourists who died while scuba diving off Verde Island in the Philippines?,"The two Russian tourists who died while scuba diving off Verde Island in the Philippines were Ilia Peregudin, 29, and Maksim Melekhov, 39."
1567630,"Nepal's Kathmandu rattled by strong quake, no casualties reported","KATHMANDU: A magnitude 6.1 earthquake struck north of Nepal's Kathmandu on Friday (Feb 28), according to the National Earthquake Monitoring and Research Centre.

The earthquake struck around Bhairab Kunda in the Sindhupalchok District in Nepal, close to the Himalayan mountain range that runs along the border with Tibet.

The German Research Center for Geosciences placed the magnitude of the earthquake at 5.6, and the depth at 10km (6.21 miles) while the US Geological Survey pegged it at magnitude 5.5.

There were no immediate reports of damage or casualties from the earthquake.

Pasang Nurpu Sherpa, chairman of the Bhote Koshi rural municipality, where the epicentre is located, told Reuters, ""I have no information of any damage so far. The earthquake has triggered a landslide at Dugunagadi Bhir across the river. There are no houses around the site of the landslide.""

Kiran Thapa, district governor of Sindhupalchok, said, ""One inmate of the district jail broke his hand while trying to run after the quake and he is now undergoing treatment at a hospital. One police post building developed minor cracks at Kodari.""

""It shook us from our sleep strongly,"" Ganesh Nepali, a senior official of Sindhupalchok district, told Reuters.

""We rushed out of our home. People have now returned home. We have not received any report of damage or injuries so far."" - Reuters",AseanPlus,AseanPlus News,Complimentary,Short,,2025-02-28,"Nepal,earthquake","A magnitude 6.1 earthquake struck north of Nepal's Kathmandu on Friday (Feb 28), according to the National Earthquake Monitoring and Research Centre.",https://www.thestar.com.my/aseanplus/aseanplus-news/2025/02/28/nepal039s-kathmandu-rattled-by-strong-quake-no-casualties-reported,https://apicms.thestar.com.my/uploads/images/2025/02/28/3190032.jpg,222,"What was the magnitude of the earthquake that struck near Kathmandu, Nepal, on February 28, and where was its epicenter located?","The magnitude of the earthquake that struck near Kathmandu, Nepal, on February 28 was 6.1. The epicenter of the earthquake was located in the Sindhupalchok District, close to the Himalayan mountain range that runs along the border with Tibet."
